country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Australia,16.5,15.5,15.1,15.3,15.7,15.6,15.6,16.5,16.6,17.0
Austria,7.04,7.47,7.93,7.24,7.24,7.18,7.48,7.88,7.8,7.92
Belgium,10.8,10.6,11.1,11.1,10.6,11.1,11.0,11.6,11.3,11.6
Canada,17.0,15.7,15.2,15.5,15.5,15.7,15.9,16.2,16.6,16.8
Denmark,9.51,9.77,11.7,10.5,11.0,11.7,10.9,13.7,11.7,11.2
France,6.89,6.6,6.83,6.36,6.23,5.83,6.0,6.42,5.98,6.39
Italy,7.16,7.31,7.42,7.35,7.2,7.12,7.52,7.44,7.53,7.7
Netherlands,11.0,10.6,11.0,10.7,10.8,10.8,11.5,11.9,11.4,11.3
Norway,11.7,7.42,7.51,7.46,8.14,7.81,7.66,7.59,8.17,8.49
United States,19.8,19.1,18.9,19.1,19.3,19.4,19.3,19.5,19.7,19.6
